1778715480566206396,1,30716,0
1778715480586220997,1,30716,100
1778715480606223665,2,30716,95
1778715480626182832,2,30716,100
1778715480646222511,3,30716,95
1778715480666209289,3,30716,100
1778715480686236314,4,30716,95
1778715480706181203,4,30716,100
1778715480726208989,5,30716,95
1778715480746209623,5,30716,100
1778715480766219155,6,30716,95
1778715480786202617,6,30716,100
1778715480806238789,7,30716,95
1778715480826257808,7,30716,100
1778715480846263302,8,30716,95
1778715480866222488,8,30716,100
1778715480886302583,9,30716,95
1778715480906311293,9,30716,100
1778715480926284767,10,30716,95
1778715480946263641,10,30716,100
1778715480966232205,11,30716,95
1778715480986290488,11,30716,100
1778715481006289350,12,30716,95
1778715481026648875,12,30716,100
1778715481046301624,13,30716,95
1778715481066223642,13,30716,100
1778715481086276638,14,30716,95
1778715481106209577,14,30716,100
1778715481126299032,15,30716,95
1778715481146233183,15,30716,100
1778715481166213872,16,30716,95
1778715481186231230,16,30716,100
1778715481206303467,17,30716,95
1778715481226274321,17,30716,100
1778715481246323714,18,30716,95
1778715481266376854,18,30716,100
1778715481286254019,19,30716,95
1778715481306269006,19,30716,100
1778715481326284063,20,30716,95
1778715481346303908,20,30716,100
1778715481366222051,21,30716,95
1778715481386896684,21,30716,100
1778715481406237920,22,30716,95
1778715481426238439,22,30716,100
1778715481446302140,23,30716,95
1778715481466248115,23,30716,100
1778715481486253661,24,30716,95
1778715481506326993,24,30716,100
1778715481526299861,25,30716,95
1778715481546271125,25,30716,100
1778715481566227130,26,30716,95
1778715481586197603,26,30716,100
1778715481606283555,27,30716,95
1778715481626270799,27,30716,100
1778715481646221905,28,30716,95
1778715481666204480,28,30716,100
1778715481686281305,29,30716,95
1778715481706236770,29,30716,100
1778715481726290541,30,30716,95
1778715481746261685,30,30716,100
1778715481766224834,31,30716,95
1778715481786245292,31,30716,100
1778715481806292691,32,30716,95
1778715481826235871,32,30716,100
